Task: 100 Fries(s) due to 2002-02-02, Customer: MK, Delivered on 2026-01-22
Task: 250 Hoodie(s) due to 2026-02-20, Customer: Joe, Added on 2026-01-22
Task: 300 Fries(s) due to 2222-02-22, Customer: Zein, Added on 2026-01-22
Task: 20 Hoodie(s) due to 2222-02-22, Customer: MK, Added on 2026-01-22
Task: 250 Hoodie(s) due to 2026-02-20, Customer: Joe, Added on 2026-01-22
Task: 300 Fries(s) due to 2222-02-22, Customer: MK, Added on 2026-01-22
Task: 20 Hoodie(s) due to 2026-02-22, Customer: Zein, Added on 2026-01-22
Task: 350 Hoodie(s) due to 2026-02-22, Customer: Joe, Added on 2026-01-22
Task: 100 Fries(s) due to 2026-02-22, Customer: MK, Added on 2026-01-22
Task: 20 Fries(s) due to 2026-01-25, Customer: Zein, Added on 2026-01-22
Task: 350 Hoodie(s) due to 2026-02-22, Customer: MK, Added on 2026-01-22
Task: 250 Fries(s) due to 2026-02-15, Customer: Joe, Added on 2026-01-22
Task: 20 Hoodie(s) due to 2026-02-20, Customer: MK, Added on 2026-01-22
Task: 300 Hoodie(s) due to 2026-02-20, Customer: MK, Added on 2026-01-22
Task: 200 Fries(s) due to 2026-02-10, Customer: Zein, Added on 2026-01-22
Task: 20 Hoodie(s) due to 2026-02-20, Customer: MK, Canceled on 2026-01-22
Task: 25 Hoodie(s) due to 2026-01-26, Customer: Mira, Added on 2026-01-22
Task: 25 Hoodie(s) due to 2026-01-26, Customer: Mira, Canceled on 2026-01-22
Task: 100 Fries(s) due to 2002-02-02, Customer: mk, Canceled on 2026-01-22
Task: 200 Fries(s) due to 2026-02-10, Customer: Zein, Canceled on 2026-01-22
Task: 250 Fries(s) due to 2026-02-15, Customer: Joe, Delivered on 2026-01-23
Task: 350 Hoodie(s) due to 2026-02-22, Customer: MK, Delivered on 2026-01-23
Task: 25 Chair(s) due to 2026-02-04, Customer: Joseph, Added on 2026-01-23
Task: 25 Chair(s) due to 2026-02-04, Customer: Joseph, Added on 2026-01-23
Task: 10 Hoodie(s) due to 2026-02-01, Customer: Joseph, Added on 2026-01-24
Task: 10 Hoodie(s) due to 2026-02-02, Customer: Joseph, Added on 2026-01-24
Task: 10 Hoodie(s) due to 2026-02-02, Customer: Joseph, Delivered on 2026-01-24
Task: 15 Bed(s) due to 2026-03-30, Customer: Mira, Delivered on 2026-01-24
Task: 10 Fries(s) due to 2026-11-11, Customer: Zein, Delivered on 2026-01-24
Task: 10 Fries(s) due to 2026-11-11, Customer: Zein, Delivered on 2026-01-24
Task: 100 Fries(s) due to 2002-02-02, Customer: MK, Delivered on 2026-01-24
Task: 30 Fries(s) due to 2026-01-30, Customer: Mira, Delivered on 2026-01-24
Task: 30 Hoodie(s) due to 2222-02-20, Customer: mk, Delivered on 2026-01-24
Task: 250 Fries(s) due to 2026-02-15, Customer: Joe, Delivered on 2026-01-24
Task: 300 Hoodie(s) due to 2026-02-20, Customer: MK, Delivered on 2026-01-24
Task: 50 Fries(s) due to 2026-01-17, Customer: Zein, Delivered on 2026-01-24
Task: 100 Fries(s) due to 2026-02-28, Customer: Zein, Delivered on 2026-01-24
Task: 25 Chair(s) due to 2026-02-04, Customer: Joseph, Delivered on 2026-01-24
Task: 100 Fries(s) due to 2026-02-28, Customer: Zein, Delivered on 2026-01-24
Task: 25 Chair(s) due to 2026-02-04, Customer: Joseph, Delivered on 2026-01-24
Task: 10 Fries(s) due to 2026-02-16, Customer: Joseph, Delivered on 2026-01-24
Task: 25 Hoodie(s) due to 2026-01-30, Customer: Joseph, Delivered on 2026-01-24
Task: 40 Fries(s) due to 2026-02-03, Customer: Zein, Delivered on 2026-01-24
Task: 350 Hoodie(s) due to 2026-02-22, Customer: MK, Delivered on 2026-01-24
Task: 10 Hoodie(s) due to 2026-02-01, Customer: Joseph, Delivered on 2026-01-24
Task: 10 Bed(s) due to 2026-02-15, Customer: Joseph, Added on 2026-01-24
Task: 10 Bed(s) due to 2026-02-15, Customer: Joseph, Canceled on 2026-01-24
Task: 10 Bed(s) due to 2026-02-15, Customer: Joseph, Added on 2026-01-24
Task: 10 Bed(s) due to 2026-02-15, Customer: Joseph, Delivered on 2026-01-24
Task: #0030 40 Hoodie(s) due to 2001-02-20, Customer: mk, Added on 2026-01-24
Task: #0030 40 Hoodie(s) due to 2001-02-20, Customer: mk, Delivered on 2026-01-24
